"","PaCMAP2","PaCMAP1"
"1",-1.3992739,6.926122
"2",-2.2229114,-12.788566
"3",4.3522687,9.019822
"4",3.675789,2.1905377
"5",1.863465,12.645868
"6",4.582709,4.4112043
"7",2.7391007,-0.37600392
"8",-0.6955255,4.083929
"9",2.8896632,-3.7259846
"10",-0.7527814,11.6447
"11",3.5244288,6.2149506
"12",-0.92414546,8.531609
"13",2.1183276,-0.09499217
"14",4.1993337,-2.2737298
"15",-7.3690434,-0.22659047
"16",0.6018782,-11.851524
"17",-3.1289358,7.5223503
"18",5.0625095,-0.67038286
"19",-2.2807713,-12.653629
"20",-3.0802991,7.4816165
"21",-1.9644659,-10.276856
"22",7.2631955,9.180398
"23",-4.965236,1.6708846
"24",-7.3867407,-10.175691
"25",4.9132323,8.189496
"26",-4.4825916,-8.139528
"27",5.5885234,0.3861657
"28",0.1932703,-9.134699
"29",1.8994919,-2.275059
"30",3.8527477,-2.7890592
"31",-3.4205785,-4.5993276
"32",-0.12445179,-2.2551448
"33",-7.9939237,-9.743927
"34",-2.84832,-6.8491573
"35",1.8183454,-2.1673594
"36",-0.779033,8.2984915
"37",2.9268742,-0.7859058
"38",8.805533,9.851713
"39",-1.680419,-5.296963
"40",-1.7574834,2.0917492
"41",4.8076763,1.6735568
"42",8.820062,9.704464
"43",7.317552,1.7050269
"44",-1.3151186,-7.0516214
"45",3.7355325,4.981859
"46",-4.050778,-12.26308
"47",0.35872924,10.934586
"48",10.324501,6.2067327
"49",-4.086464,0.8898996
"50",-4.8091884,0.9641155
"51",-2.0012348,-4.00063
"52",-0.46251577,-13.180048
"53",1.4419959,2.3667934
"54",1.9380211,12.582953
"55",2.1037717,-6.103365
"56",-8.970674,-9.179166
"57",-0.97508305,0.6611817
"58",3.634601,6.531763
"59",-0.9108037,-1.6145946
"60",-5.2331586,-9.05962
"61",8.574615,3.7810621
"62",-7.4011235,-0.8298313
"63",0.29287416,4.4584484
"64",-1.4545087,9.752741
"65",8.304889,9.444415
"66",7.832205,8.45576
"67",-1.787519,-13.165922
"68",1.7665951,9.10942
"69",-9.038263,-7.8737454
"70",-4.8735623,4.02957
"71",4.3928475,-2.027487
"72",-5.411351,-3.0804753
"73",0.40685913,0.95674723
"74",1.9678394,-4.8959494
"75",0.73114693,-5.738487
"76",-0.9848501,9.6789255
"77",-1.1962783,-1.6445835
"78",10.483877,8.930543
"79",-7.794236,-6.7050533
"80",0.19086364,-2.558024
"81",6.8661504,3.827352
"82",-6.423198,1.3914965
"83",9.862112,7.6307154
"84",-8.362543,-9.004166
"85",3.4986734,12.538783
"86",-2.047076,-13.044328
"87",-5.1844726,-5.862535
"88",3.1982865,11.799707
"89",-7.844784,-9.945005
"90",-1.2865248,-8.675679
"91",-8.960966,-8.751416
"92",-6.5843954,1.2056017
"93",-6.73973,-1.0094683
"94",-7.2301326,-10.0581045
"95",-4.301504,-10.298178
"96",-1.7045783,-1.6295171
"97",4.434337,7.243289
"98",7.4276433,1.4714311
"99",6.432305,7.0635915
"100",7.700736,2.3227801
"101",7.179446,7.7628374
"102",9.416523,9.63196
"103",0.73192817,12.901879
"104",5.0147257,4.532092
"105",-9.259193,-9.094413
"106",3.6966228,12.5443
"107",2.6857874,3.2428944
"108",4.30723,-0.06758112
"109",-4.6156836,-1.6549485
"110",-7.297926,-9.70057
"111",-1.0717574,4.2463746
"112",2.7284815,-4.0901546
"113",-7.7740455,-2.9839091
"114",7.8962355,7.5387444
"115",-2.4538999,-7.5819173
"116",-0.9544484,7.908247
"117",-4.3389206,-8.501006
"118",-0.6070391,-3.2199268
"119",1.2172943,8.481019
"120",0.92449033,12.391314
"121",5.4651303,0.6171524
"122",4.2636147,-2.2753625
"123",9.828929,7.531184
"124",7.441773,8.007007
"125",1.2100732,-8.265297
"126",-1.2492614,-1.1531398
"127",-6.457721,-8.600479
"128",7.1315804,8.0280485
"129",-1.0325737,-9.561438
"130",-6.277097,1.6615688
"131",-4.3719234,-4.6598663
"132",-2.8821907,-3.1427755
"133",-2.116747,5.62751
"134",1.7679844,10.447458
"135",-2.8589973,-8.315261
"136",-4.702509,0.0889218
"137",-4.347744,-9.453482
"138",0.9703024,-8.287369
"139",-0.2593377,-1.7931863
"140",-7.249033,-6.8395357
"141",1.0004101,4.012394
"142",-0.62746733,1.0966392
"143",1.28455,12.867892
"144",0.98635054,-11.364139
"145",5.29067,3.662651
"146",-3.652212,-8.136863
"147",-4.0635405,-8.496833
"148",8.017579,3.0333767
"149",-0.7311382,6.985073
"150",-3.0959265,-7.041202
"151",1.1369061,-5.778241
"152",-1.1783,5.0477953
"153",-3.760015,-10.85947
"154",-9.522201,-8.936564
"155",-2.9872346,-9.921511
"156",9.577844,5.0886474
"157",0.053329784,-2.7008805
"158",-6.8817825,0.59319264
"159",-2.572897,3.527424
"160",-4.9127164,-10.648069
"161",3.676858,-3.9429853
"162",4.3039083,-2.929129
"163",-6.8185377,0.7676044
"164",-0.14286865,0.7080854
"165",-7.465459,-2.8418756
"166",-0.3350273,8.432289
"167",3.9776065,11.080836
"168",-5.0334463,-11.628646
"169",-1.0667291,-2.8641622
"170",-5.213643,3.6355264
"171",-4.60968,-8.748772
"172",1.4885443,-8.780101
"173",-4.238805,0.133289
"174",-5.0049973,-8.203158
"175",5.6782427,-0.39552405
"176",1.1863564,-10.125212
"177",-5.227145,-8.822687
"178",-0.62702656,-3.3531663
"179",-2.7424703,8.026624
